Id,BibleVersionId,Book,Testament,ChapterNumber,VerseNumber,Text
1823cc74-04c6-42c3-aaa7-6d7c18ab3b11,1000005,Genesis,OT,1,1,In the beginning God created the heaven and the earth.
728da436-c718-4e8a-aeec-526ce2128f2d,1000005,Genesis,OT,1,2,"And the earth was without form, and void; and darkness was upon the face of the deep: and the Spirit of God moved upon the face of the waters."
d3673b00-d3d2-46b1-bbc1-147621545c02,1000005,Genesis,OT,1,3,"And God said, Let there be light: and there was light."
aad1e723-6e6d-4967-a988-6ea0f41a2935,1000005,Genesis,OT,1,4,"And God saw the light, that it was good: and God divided the light from the darkness."
096ec56b-6a77-40bc-85e0-9fd0c9108ad5,1000005,Genesis,OT,1,5,"And God called the light Day, and the darkness he called Night: and the evening and the morning were the first day."
96f57ceb-d162-4b7b-af73-c9785e820775,1000005,Genesis,OT,1,6,"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters."
38140f32-d0a4-4fc5-82d3-8367b8304fef,1000005,Genesis,OT,1,7,And God made the firmament; and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.
0a616105-9834-4e05-a2b4-1ff3e71600bc,1000005,Genesis,OT,1,8,And God called the firmament Heaven: and the evening and the morning were the second day.
be2c4961-f597-4307-a9e3-657314fffded,1000005,Genesis,OT,1,9,"And God said, Let the waters under the heaven be gathered into one place, and let the dry land appear: and it was so."
25ed00aa-063b-4854-83a9-41a43559c1ad,1000005,Genesis,OT,1,10,"And God called the dry land Earth, and the collection of waters he called Seas: and God saw that it was good."
5f2384e3-3bfd-4580-b1b4-2b056173e3e7,1000005,Genesis,OT,1,11,"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit-tree yielding fruit after its kind, whose seed is in itself, upon the earth: and it was so."
d0700d86-402b-4996-bf21-a948ecae4dc7,1000005,Genesis,OT,1,12,"And the earth brought forth grass, and herb yielding seed after its kind, and the tree yielding fruit, whose seed was in itself, after its kind: and God saw that it was good."
808e5c89-ec7a-4338-bd73-50691186b224,1000005,Genesis,OT,1,13,And the evening and the morning were the third day.
a22db0a2-381d-4c15-b149-14b298c83c48,1000005,Genesis,OT,1,14,"And God said, Let there be lights in the firmament of the heaven, to divide the day from the night: and let them be for signs, and for seasons, and for days, and years."
41dfd2ce-d9e2-4d05-acb1-d8a278bfa1c1,1000005,Genesis,OT,1,15,"And let them be for lights in the firmament of the heaven, to give light upon the earth: and it was so."
5d161b72-fa32-43df-8adf-551c4eac5656,1000005,Genesis,OT,1,16,"And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also."
32845788-fde4-48ba-8af7-1c0fd7f42c1c,1000005,Genesis,OT,1,17,"And God set them in the firmament of the heaven, to give light upon the earth."
